riskId,supplierVendorCode,riskType,riskScore,riskDescription,mitigationPlan,riskStatus
RISK-78e644a7,SUP-f3336771,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-f3336771 is 0.,Conduct quarterly financial health assessments and diversify funding sources to minimize exposure.,Active
RISK-efcc8cbf,SUP-f3336771,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-f3336771 is 0.,Diversify suppliers to reduce concentration risk.,Active
RISK-f5d5f4f8,SUP-60675870,Country Risk,15.0,Country Risk for supplier SUP-60675870 is 15.,"Conduct thorough due diligence on suppliers in high-risk countries (score: 15) to identify and mitigate potential risks through contractual requirements, regular audits, and engagement with local regulatory bodies.",Active
RISK-b60cf6a0,SUP-60675870,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-60675870 is 0.,Diversify suppliers to reduce dependency on single source.,Active
RISK-78694852,SUP-60675870,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-60675870 is 0.,Conduct quarterly financial health assessments on all suppliers to identify early warning signs of potential issues.,Active
RISK-5a64666d,SUP-60675870,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-60675870 is 0.,Implement robust credit checks and diversify suppliers to reduce spend concentration risk.,Active
RISK-5abed019,SUP-fcee5807,Country Risk,0.0,Country Risk for supplier SUP-fcee5807 is 0.,Conduct regular country risk assessments to ensure compliance with local regulations and reduce exposure.,Active
RISK-1e0cb3db,SUP-fcee5807,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-fcee5807 is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-4f5c5f72,SUP-fcee5807,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-fcee5807 is 0.,Conduct regular financial health assessments of the supplier to identify potential risks.,Active
RISK-1583b9c2,SUP-fcee5807,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-fcee5807 is 0.,Develop a contingency plan.,Active
RISK-2e4659ec,SUP-dac36b63,Country Risk,15.0,Country Risk for supplier SUP-dac36b63 is 15.,Assess the local regulatory environment and political stability in the country to minimize potential disruptions.,Active
RISK-4cb2bf3e,SUP-dac36b63,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-dac36b63 is 0.,Develop a contingency plan.,Active
RISK-75b556df,SUP-dac36b63,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-dac36b63 is 10.,Immediately audit the financial statements to ensure transparency and accuracy.,Active
RISK-2297df63,SUP-dac36b63,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-dac36b63 is 0.,Diversify suppliers to reduce concentration risk.,Active
RISK-7da9b2c7,SUP-11b505a9,Country Risk,0.0,Country Risk for supplier SUP-11b505a9 is 0.,Enhance local compliance monitoring to mitigate country risks associated with potential political instability.,Active
RISK-6554d836,SUP-11b505a9,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-11b505a9 is 0.,Diversify suppliers to reduce dependency on single sourcing.,Active
RISK-1d3de241,SUP-11b505a9,Financial Health Risk,25.0,Financial Health Risk for supplier SUP-11b505a9 is 25.,Conduct quarterly financial health assessments and diversify supply chain to reduce dependency on high-risk suppliers.,Active
RISK-12f78d5f,SUP-11b505a9,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-11b505a9 is 0.,"Implement a diversified procurement strategy to reduce reliance on any single supplier, enhancing overall supply chain resilience.",Active
RISK-96687318,SUP-37e8fdb6,Country Risk,15.0,Country Risk for supplier SUP-37e8fdb6 is 15.,Conduct regular audits on suppliers based in high-risk countries to ensure compliance with ethical business practices and regulatory standards.,Active
RISK-aaecce85,SUP-37e8fdb6,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-37e8fdb6 is 0.,Diversify supply sources to reduce dependency on single suppliers.,Active
RISK-3f2462d7,SUP-37e8fdb6,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-37e8fdb6 is 0.,Conduct regular financial health assessments on the supplier to ensure stability and mitigate potential risks.,Active
RISK-666a467d,SUP-37e8fdb6,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-37e8fdb6 is 0.,Diversify suppliers to reduce concentration risk.,Active
RISK-923d4e75,SUP-e3b094e6,Country Risk,15.0,Country Risk for supplier SUP-e3b094e6 is 15.,Conduct regular geopolitical assessments and diversify supply chain geographically to mitigate risks associated with high country risk scores.,Active
RISK-91f3a197,SUP-e3b094e6,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-e3b094e6 is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-5e514d20,SUP-e3b094e6,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-e3b094e6 is 10.,Conduct quarterly credit ratings reviews and maintain diversified supplier base to manage financial health risks.,Active
RISK-5b7484c9,SUP-e3b094e6,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-e3b094e6 is 0.,Diversify spending across multiple suppliers to reduce concentration risk.,Active
RISK-4e5086fc,SUP-4e48d2a1,Country Risk,0.0,Country Risk for supplier SUP-4e48d2a1 is 0.,Conduct regular geopolitical assessments to ensure supply chain resilience and adapt strategies accordingly.,Active
RISK-90468825,SUP-4e48d2a1,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-4e48d2a1 is 0.,Diversify suppliers to reduce reliance on any single provider.,Active
RISK-0740a8fb,SUP-4e48d2a1,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-4e48d2a1 is 0.,Monitor the supplier's financial statements quarterly to ensure liquidity and solvency.,Active
RISK-450e860e,SUP-4e48d2a1,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-4e48d2a1 is 0.,Implement diversified purchasing strategy across multiple suppliers to reduce spend concentration risk.,Active
RISK-d124b725,SUP-f09f82c8,Country Risk,30.0,Country Risk for supplier SUP-f09f82c8 is 30.,Conduct regular audits and establish strong local partnerships to monitor compliance and mitigate risks associated with country risk score of 30.,Active
RISK-caf1c964,SUP-f09f82c8,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-f09f82c8 is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-4abe1bfa,SUP-f09f82c8,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-f09f82c8 is 0.,Monitor supplier's financial health quarterly and conduct credit checks before entering into new contracts.,Active
RISK-77f2fe32,SUP-f09f82c8,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-f09f82c8 is 0.,Develop a contingency plan.,Active
RISK-399aeb00,SUP-b9b06e8a,Country Risk,0.0,Country Risk for supplier SUP-b9b06e8a is 0.,Conduct regular reviews of local regulations and engage with the government to mitigate country risk.,Active
RISK-96aa56bd,SUP-b9b06e8a,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-b9b06e8a is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-58929e89,SUP-b9b06e8a,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-b9b06e8a is 0.,Conduct quarterly credit assessments to ensure the supplier maintains good financial health.,Active
RISK-356c61ce,SUP-b9b06e8a,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-b9b06e8a is 0.,Implement quarterly spend reviews to ensure no single supplier exceeds 30% of total spending.,Active
RISK-e3b81128,SUP-5abfa819,Country Risk,0.0,Country Risk for supplier SUP-5abfa819 is 0.,Conduct regular political stability assessments and engage in diversified supply chain strategies to mitigate country risk.,Active
RISK-d5078a3b,SUP-5abfa819,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-5abfa819 is 0.,Diversify supplier base to reduce reliance on single suppliers.,Active
RISK-aefe18f7,SUP-5abfa819,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-5abfa819 is 0.,Conduct quarterly financial health reviews of the supplier to ensure stable cash flow and solvency.,Active
RISK-2332d4de,SUP-5abfa819,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-5abfa819 is 0.,Diversify suppliers to reduce spend concentration risk.,Active
RISK-e1e7afcb,SUP-7efe2739,Country Risk,15.0,Country Risk for supplier SUP-7efe2739 is 15.,Conduct regular assessments and diversify supply chains to reduce exposure from country risks scoring above 15.,Active
RISK-c994cbb0,SUP-7efe2739,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-7efe2739 is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-f35710a6,SUP-7efe2739,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-7efe2739 is 0.,Enhance financial health assessments by regularly reviewing supplier credit ratings and implementing stricter payment terms.,Active
RISK-dad0aa86,SUP-7efe2739,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-7efe2739 is 0.,Implement quarterly spend reviews to ensure concentration within the budget and reduce the risk exposure.,Active
RISK-ac6cc469,SUP-f5e2bccc,Country Risk,15.0,Country Risk for supplier SUP-f5e2bccc is 15.,Conduct thorough due diligence on the supplier's operations in the high-risk country to identify potential vulnerabilities.,Active
RISK-7f481b4d,SUP-f5e2bccc,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-f5e2bccc is 0.,Diversify supply base to reduce reliance on single suppliers.,Active
RISK-f62ba123,SUP-f5e2bccc,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-f5e2bccc is 0.,Conduct quarterly financial health assessments to identify any deteriorating trends early and implement corrective actions proactively.,Active
RISK-5af5f769,SUP-f5e2bccc,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-f5e2bccc is 0.,Implement diversified vendor sourcing to reduce dependence on a single supplier.,Active
RISK-f84a5e76,SUP-b696b2db,Country Risk,0.0,Country Risk for supplier SUP-b696b2db is 0.,Maintain diversified supply chain to reduce dependency on high-risk countries.,Active
RISK-a8ebd21f,SUP-b696b2db,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-b696b2db is 0.,Diversify sourcing to reduce dependency on a single supplier.,Active
RISK-eb2f5891,SUP-b696b2db,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-b696b2db is 0.,Conduct quarterly financial health assessments and maintain diversified procurement sources to mitigate potential financial risks from suppliers.,Active
RISK-721227e5,SUP-b696b2db,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-b696b2db is 0.,Implement diversified procurement strategies across multiple suppliers to reduce spend concentration risk.,Active
RISK-2eeae563,SUP-c62a86b0,Country Risk,0.0,Country Risk for supplier SUP-c62a86b0 is 0.,Conduct regular geopolitical assessments and diversify supply chains to mitigate country risks.,Active
RISK-0aa83ede,SUP-c62a86b0,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-c62a86b0 is 0.,Diversify suppliers to reduce reliance on single sources.,Active
RISK-6364126c,SUP-c62a86b0,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-c62a86b0 is 10.,Engage in regular financial health assessments of the supplier to ensure sustained profitability.,Active
RISK-1414632e,SUP-c62a86b0,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-c62a86b0 is 0.,Implement robust vendor credit limits and monitor spend concentration across suppliers to mitigate spend concentration risks.,Active
RISK-6a4619aa,SUP-b37e9892,Country Risk,15.0,Country Risk for supplier SUP-b37e9892 is 15.,Increase diversification of suppliers across multiple countries to reduce dependency on the high-risk country.,Active
RISK-d306f69e,SUP-b37e9892,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-b37e9892 is 0.,Develop a contingency plan.,Active
RISK-b10015f0,SUP-b37e9892,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-b37e9892 is 0.,Maintain robust financial health assessments and diversify vendor base to minimize risks associated with supplier's declining financial stability.,Active
RISK-8afa1450,SUP-b37e9892,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-b37e9892 is 0.,Diversify spend across multiple vendors to reduce concentration risk.,Active
RISK-b3879ca8,SUP-50677ff3,Country Risk,15.0,Country Risk for supplier SUP-50677ff3 is 15.,Implement diversified sourcing strategy across multiple countries to reduce dependency on high-risk regions.,Active
RISK-dfd46a65,SUP-50677ff3,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-50677ff3 is 0.,Develop a contingency plan.,Active
RISK-e87a5210,SUP-50677ff3,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-50677ff3 is 10.,Develop a contingency plan.,Active
RISK-fb216031,SUP-50677ff3,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-50677ff3 is 0.,Diversify suppliers to reduce reliance on any single vendor.,Active
RISK-42afd99a,SUP-89b45c18,Country Risk,0.0,Country Risk for supplier SUP-89b45c18 is 0.,Conduct thorough due diligence on suppliers in the country to ensure compliance with international trade regulations and labor laws.,Active
RISK-4671fda5,SUP-89b45c18,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-89b45c18 is 0.,Develop a contingency plan.,Active
RISK-4d856921,SUP-89b45c18,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-89b45c18 is 10.,Conduct thorough financial health assessments and diversify suppliers to mitigate high financial health risks.,Active
RISK-c26e70ad,SUP-89b45c18,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-89b45c18 is 0.,Implement real-time spend monitoring and set thresholds to mitigate concentration risks effectively.,Active
RISK-a3ef6455,SUP-5a5f9ad7,Country Risk,0.0,Country Risk for supplier SUP-5a5f9ad7 is 0.,Establish diversified supply chain in low-risk countries to minimize exposure.,Active
RISK-a802064d,SUP-5a5f9ad7,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-5a5f9ad7 is 0.,Diversify suppliers to reduce dependency on single sourcing.,Active
RISK-955b0659,SUP-5a5f9ad7,Financial Health Risk,25.0,Financial Health Risk for supplier SUP-5a5f9ad7 is 25.,Conduct quarterly financial health assessments and diversify supply chain to reduce dependency on high-risk suppliers.,Active
RISK-2805214e,SUP-5a5f9ad7,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-5a5f9ad7 is 0.,Diversify suppliers to reduce spend concentration risk.,Active
RISK-3db69294,SUP-2ff4f7d2,Country Risk,15.0,Country Risk for supplier SUP-2ff4f7d2 is 15.,Conduct regular country risk assessments and implement diversification strategies to minimize exposure.,Active
RISK-09f6280f,SUP-2ff4f7d2,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-2ff4f7d2 is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-87485af9,SUP-2ff4f7d2,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-2ff4f7d2 is 10.,Conduct comprehensive financial health assessments and diversify supply chain sources to mitigate the high financial health risk.,Active
RISK-8de07e3c,SUP-2ff4f7d2,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-2ff4f7d2 is 0.,Implement a diversified supplier base to reduce spend concentration risk.,Active
RISK-06ccc724,SUP-1c1f6dae,Country Risk,0.0,Country Risk for supplier SUP-1c1f6dae is 0.,Monitor geopolitical stability in the country and diversify supply chain to reduce dependency.,Active
RISK-abb91a9f,SUP-1c1f6dae,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-1c1f6dae is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-e1ea2eda,SUP-1c1f6dae,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-1c1f6dae is 0.,Conduct quarterly financial health assessments and diversify vendor base to reduce dependency on any single provider.,Active
RISK-278f957b,SUP-1c1f6dae,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-1c1f6dae is 0.,Implement diversified procurement strategies across multiple suppliers to reduce concentration risks.,Active
RISK-852f5e27,SUP-6e47b815,Country Risk,15.0,Country Risk for supplier SUP-6e47b815 is 15.,Conduct regular country risk assessments to identify potential threats and implement diversified supply chain strategies.,Active
RISK-f21522dc,SUP-6e47b815,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-6e47b815 is 0.,Diversify suppliers to reduce dependency on a single source and mitigate supply chain disruptions.,Active
RISK-06c2f6f6,SUP-6e47b815,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-6e47b815 is 10.,Conduct quarterly financial health assessments and diversify supplier base to reduce dependency on any single provider.,Active
RISK-e401c9bc,SUP-6e47b815,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-6e47b815 is 0.,Implement diversified procurement strategies to reduce concentration across key suppliers.,Active
RISK-e45340bf,SUP-aa8f814b,Country Risk,15.0,Country Risk for supplier SUP-aa8f814b is 15.,Conduct thorough country risk assessments to identify potential threats and develop contingency plans before engaging in business activities.,Active
RISK-e7eef518,SUP-aa8f814b,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-aa8f814b is 0.,Diversify suppliers to reduce dependency on any single source.,Active
RISK-b9c0b971,SUP-aa8f814b,Financial Health Risk,25.0,Financial Health Risk for supplier SUP-aa8f814b is 25.,Develop a contingency plan.,Active
RISK-18db7ea2,SUP-aa8f814b,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-aa8f814b is 0.,Diversify suppliers to reduce spend concentration risk.,Active
RISK-af00f39a,SUP-2c715b02,Country Risk,15.0,Country Risk for supplier SUP-2c715b02 is 15.,Conduct regular geopolitical assessments and diversify supply chain across multiple countries to mitigate country risk.,Active
RISK-5173a3f6,SUP-2c715b02,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-2c715b02 is 0.,"Diversify suppliers to reduce reliance on a single source, thereby minimizing the impact of potential disruptions.",Active
RISK-ddd94e4d,SUP-2c715b02,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-2c715b02 is 0.,Conduct quarterly credit checks to ensure the supplier maintains strong financial health.,Active
RISK-5b0cb110,SUP-2c715b02,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-2c715b02 is 0.,Diversify suppliers to reduce spend concentration risk.,Active
RISK-6b36754e,SUP-9ee27092,Country Risk,0.0,Country Risk for supplier SUP-9ee27092 is 0.,"Conduct regular country risk assessments to monitor changes in political stability, economic conditions, and regulatory environments.",Active
RISK-90001b0b,SUP-9ee27092,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-9ee27092 is 0.,Diversify suppliers to reduce reliance on any single source.,Active
RISK-8486c0a5,SUP-9ee27092,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-9ee27092 is 10.,"Conduct comprehensive financial due diligence on suppliers, including credit checks and review of past performance, to ensure strong financial health.",Active
RISK-a272f97a,SUP-9ee27092,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-9ee27092 is 0.,Diversify suppliers to reduce concentration risk.,Active
RISK-1f366e75,SUP-9e5bb3c9,Country Risk,15.0,Country Risk for supplier SUP-9e5bb3c9 is 15.,Conduct regular geopolitical assessments to identify and address emerging country risks that could impact our operations.,Active
RISK-38c4adcc,SUP-9e5bb3c9,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-9e5bb3c9 is 0.,Develop a contingency plan.,Active
RISK-5632d57e,SUP-9e5bb3c9,Financial Health Risk,25.0,Financial Health Risk for supplier SUP-9e5bb3c9 is 25.,Conduct regular financial health assessments to identify potential risks and ensure timely remediation.,Active
RISK-3e1a7a05,SUP-9e5bb3c9,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-9e5bb3c9 is 0.,Diversify spending across multiple suppliers to reduce concentration risk.,Active
RISK-01941b41,SUP-a9a0ed13,Country Risk,15.0,Country Risk for supplier SUP-a9a0ed13 is 15.,Diversify supply chain geographically to reduce dependency on high-risk countries.,Active
RISK-4dd01872,SUP-a9a0ed13,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-a9a0ed13 is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-994eff9e,SUP-a9a0ed13,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-a9a0ed13 is 0.,Conduct regular financial health assessments of suppliers to ensure stability and mitigate potential risks.,Active
RISK-898f15dc,SUP-a9a0ed13,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-a9a0ed13 is 0.,Diversify suppliers to reduce concentration risk.,Active
RISK-5a4f5934,SUP-fa34a6f6,Country Risk,0.0,Country Risk for supplier SUP-fa34a6f6 is 0.,Conduct regular assessments and diversify supply chains to minimize exposure to country risks.,Active
RISK-052ab19f,SUP-fa34a6f6,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-fa34a6f6 is 0.,Diversify supplier base to reduce reliance on single sources.,Active
RISK-1fd90cfa,SUP-fa34a6f6,Financial Health Risk,25.0,Financial Health Risk for supplier SUP-fa34a6f6 is 25.,Conduct quarterly financial health assessments to identify warning signs early.,Active
RISK-48ffdbc3,SUP-fa34a6f6,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-fa34a6f6 is 0.,Diversify spending across multiple suppliers to reduce reliance on any single vendor.,Active
RISK-cd119902,SUP-9dbd673b,Country Risk,0.0,Country Risk for supplier SUP-9dbd673b is 0.,Maintain diversified supply chain across multiple countries to minimize country-specific risks.,Active
RISK-d62cd9f3,SUP-9dbd673b,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-9dbd673b is 0.,Develop a contingency plan.,Active
RISK-bc2b5931,SUP-9dbd673b,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-9dbd673b is 0.,Conduct quarterly financial health assessments and maintain diversified supply chain.,Active
RISK-0e4fbe11,SUP-9dbd673b,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-9dbd673b is 0.,Diversify suppliers to reduce concentration in high-risk areas.,Active
RISK-c06649c8,SUP-37ef0048,Country Risk,15.0,Country Risk for supplier SUP-37ef0048 is 15.,"Conduct thorough due diligence on suppliers in high-risk countries, including background checks and regular audits.",Active
RISK-6fe82663,SUP-37ef0048,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-37ef0048 is 0.,Diversify suppliers to reduce dependency on a single source.,Active
RISK-c3c8f7da,SUP-37ef0048,Financial Health Risk,25.0,Financial Health Risk for supplier SUP-37ef0048 is 25.,Conduct regular credit assessments and diversify suppliers to reduce exposure from financial health risks.,Active
RISK-4d2ba7ae,SUP-37ef0048,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-37ef0048 is 0.,Diversify spending across multiple suppliers to reduce reliance on any single provider.,Active
RISK-778db96d,SUP-9c67b3ff,Country Risk,0.0,Country Risk for supplier SUP-9c67b3ff is 0.,Conduct thorough due diligence on suppliers operating in high-risk countries to ensure compliance with international standards and regulations.,Active
RISK-6f81ea9c,SUP-9c67b3ff,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-9c67b3ff is 0.,Diversify suppliers to reduce reliance on any single source.,Active
RISK-e09d1e5a,SUP-9c67b3ff,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-9c67b3ff is 0.,Monitor the financial health indicators quarterly and maintain an emergency reserve fund.,Active
RISK-02f08840,SUP-9c67b3ff,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-9c67b3ff is 0.,Develop a contingency plan.,Active
RISK-a2992367,SUP-bfd5f936,Country Risk,15.0,Country Risk for supplier SUP-bfd5f936 is 15.,Conduct thorough due diligence on suppliers in high-risk countries to ensure compliance with international standards and implement local monitoring.,Active
RISK-4b41cca7,SUP-bfd5f936,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-bfd5f936 is 0.,Diversify suppliers to reduce reliance on any single source.,Active
RISK-1c9c8a4c,SUP-bfd5f936,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-bfd5f936 is 10.,Develop a contingency plan.,Active
RISK-396513bb,SUP-bfd5f936,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-bfd5f936 is 0.,Diversify suppliers to reduce spend concentration risk.,Active
RISK-aca11b56,SUP-0681f819,Country Risk,15.0,Country Risk for supplier SUP-0681f819 is 15.,Conduct regular geopolitical assessments and diversify supply chains to reduce dependency on high-risk countries.,Active
RISK-004edc4f,SUP-0681f819,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-0681f819 is 0.,Diversify the supply chain to include additional suppliers to reduce reliance on a single source.,Active
RISK-80c09ebe,SUP-0681f819,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-0681f819 is 0.,Conduct quarterly financial health reviews and monitor key performance indicators to ensure timely identification and resolution of potential issues.,Active
RISK-c3a3117c,SUP-0681f819,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-0681f819 is 0.,Diversify suppliers to reduce concentration risk.,Active
RISK-c25f84b2,SUP-b698c816,Country Risk,15.0,Country Risk for supplier SUP-b698c816 is 15.,Conduct thorough due diligence on suppliers operating in countries with high risk scores to ensure compliance and mitigate potential disruptions.,Active
RISK-087aaa89,SUP-b698c816,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-b698c816 is 0.,Diversify suppliers to reduce reliance on any single source.,Active
RISK-9b47947a,SUP-b698c816,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-b698c816 is 0.,Conduct quarterly financial health assessments and maintain diversified supply chain contracts to mitigate potential disruptions.,Active
RISK-bd228edf,SUP-b698c816,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-b698c816 is 0.,Diversify spending across multiple suppliers to reduce concentration risk.,Active
RISK-f970786b,SUP-3eff77c5,Country Risk,15.0,Country Risk for supplier SUP-3eff77c5 is 15.,Conduct regular political stability assessments and diversify supply chains across geographically diverse regions to mitigate the impact of country risks scoring above 10.,Active
RISK-34110b50,SUP-3eff77c5,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-3eff77c5 is 0.,Diversify suppliers to reduce reliance on any single provider and enhance supply chain resilience.,Active
RISK-7c6d5468,SUP-3eff77c5,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-3eff77c5 is 10.,Conduct thorough financial health assessments and diversify supply chains to mitigate financial health risks associated with the supplier.,Active
RISK-987cc8d3,SUP-3eff77c5,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-3eff77c5 is 0.,Monitor and diversify supplier base to reduce financial exposure.,Active
RISK-2dba825b,SUP-cde220da,Country Risk,15.0,Country Risk for supplier SUP-cde220da is 15.,Conduct thorough due diligence on suppliers operating in high-risk countries to ensure compliance with international standards and implement local monitoring mechanisms.,Active
RISK-7e37c05b,SUP-cde220da,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-cde220da is 0.,Develop a contingency plan.,Active
RISK-dd315316,SUP-cde220da,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-cde220da is 0.,Maintain regular financial health assessments to promptly identify any deteriorating financial conditions in the supplier.,Active
RISK-f90877cb,SUP-cde220da,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-cde220da is 0.,Diversify suppliers to reduce concentration risk across all vendor categories.,Active
RISK-28af35f0,SUP-19e87738,Country Risk,0.0,Country Risk for supplier SUP-19e87738 is 0.,Implement stringent compliance checks and diversify supply chain to mitigate country risk.,Active
RISK-03de4ee8,SUP-19e87738,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-19e87738 is 0.,Diversify the supplier base to reduce dependency on a single source.,Active
RISK-46e38659,SUP-19e87738,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-19e87738 is 10.,Conduct regular financial health assessments and diversify suppliers to reduce dependency on any single vendor.,Active
RISK-2498907c,SUP-19e87738,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-19e87738 is 0.,Implement strict budget monitoring and enforce spending limits to reduce the concentration risk.,Active
RISK-ff6d5a5c,SUP-d2271c71,Country Risk,0.0,Country Risk for supplier SUP-d2271c71 is 0.,Conduct regular audits of the supplier's operations in the country to ensure compliance with international standards.,Active
RISK-2fcb778e,SUP-d2271c71,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-d2271c71 is 0.,Diversify the supplier base to reduce reliance on any single source.,Active
